row_number,section,name,unit,price,candidate_price_code,candidate_line_name,candidate_unit,candidate_price,score,confidence,source_file
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a240_d8_m,Арматура класса А240 диаметром 8 мм,мп,24.000000,0.9814,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.720000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.7609,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a500_d10_m,Арматура класса А500 диаметром 10 мм,мп,32.72,0.7609,low,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json
106,Арматура,Арматура класса А240 диаметром 6 мм,1п.м,10.25,rebar_a500_d12_m,Арматура класса А500 диаметром 12 мм,мп,45.290000,0.7609,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
114,Фундамент,Клей-пена для ЭППС-1шт,шт,450,eps_foam_glue_can,Клей-пена для ЭППС,баллон,490.000000,0.8475,low,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json
114,Фундамент,Клей-пена для ЭППС-1шт,шт,450,eps_foam_glue_can,Клей-пена для ЭППС,баллон,490.0,0.8475,low,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json
114,Фундамент,Клей-пена для ЭППС-1шт,шт,450,eps_foam_glue_can,Клей-пена для ЭППС,баллон,490,0.9275,low,experiments/waterproofing_calculator/output/test_waterproofing_foundation_slab/waterproofing_result.json
115,Фундамент,Геотекстиль Дорнит 300 г.м2 (100м2) -1шт,рул,4562,geotextile_dornit_300_m2,Геотекстиль Дорнит 300 г.м2 (100м2),м2,109,0.9045,low,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json
115,Фундамент,Геотекстиль Дорнит 300 г.м2 (100м2) -1шт,рул,4562,geotextile_dornit_300_m2,Геотекстиль Дорнит 300 г.м2 (100м2),м2,109,0.9045,low,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json
130,Плоская кровля,"Аэратор кровельный PVC, А75х375",шт,587,roof_pvc_aerator_75x375_item,"Аэратор кровельный PVC, 75х375 (без пробивки отверстий)",шт,587,0.6898,low,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json
